owner,repo_name,commit_id,committer,date,tree_url,lines_code_added,lines_code_removed,code_size_bytes,code_size_kilobytes,repo_size_kb
pH-7,Simple-Java-Calculator,831cf76a77fe12f90df05abc1df7f94f5d9aa594,web-flow,2018-01-10 04:16:41,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/36eac21a9b87dae00c7cebc074bf14e79bdbc233,6,2,8,1,1
pH-7,Simple-Java-Calculator,feccc537efd03a43562decb02b84932e5e61020e,web-flow,2018-01-09 19:54:43,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/b22e9904a3739435dea874262b44dc4cdc875217,0,0,0,1,1
pH-7,Simple-Java-Calculator,8aa884c89434007002c2d912907232a8d8b3f5d7,web-flow,2018-01-09 19:21:33,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/cf9f97b0471e76119bea04c9f244ac7ca72b38e6,4,4,8,1,1
pH-7,Simple-Java-Calculator,343f863759a2caa910c40c161bba4f5cd2df5fb2,web-flow,2018-01-09 19:16:49,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/c5a4d4c43d4ed47bdeca9e82f67c30ba7cd09d0c,1,1,2,1,1
pH-7,Simple-Java-Calculator,53fc1ba39abbf0c599f49adc3d42836e89363699,web-flow,2018-01-07 23:48:29,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/f8069059ad23c6d91768cb0cb783fc048e8144d4,17,2,19,1,1
pH-7,Simple-Java-Calculator,8c2729c46c21a17111e8dd5b5b71af602f72a304,web-flow,2018-01-07 23:22:06,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/6ceecb562cc3bbb8a80860725ba2aacc63bd9b7c,22,1,23,1,1
pH-7,Simple-Java-Calculator,725d04744624f1b2f46dea55e982eda53e9bf30c,pH-7,2017-04-14 15:22:43,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/57b51117eb4aa2ff2db78f16036c72fdce6242f2,3,3,6,1,1
pH-7,Simple-Java-Calculator,67ae8afbf746debe696cdf941d898c047e657833,pH-7,2017-04-14 15:16:17,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/8fc6ce8cad8340043f9be153cd56370bda735112,2,2,4,1,1
pH-7,Simple-Java-Calculator,ed765d3259c9b1aabfbae00c725bdfb7b2a30213,pH-7,2017-04-14 15:15:09,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/6c1e887fc8eba916e6e743efffaa6365c8265138,1,1,2,1,1
pH-7,Simple-Java-Calculator,909d272f282e22cc6e83a3c320677f979e811e66,pH-7,2017-04-14 15:14:14,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/89bd9ffc5fc3b236e53f783730085c64d6d86080,13,10,23,1,1
pH-7,Simple-Java-Calculator,700e8cb8059eab827f98623350cb61976be6cb7c,pH-7,2017-01-26 00:06:49,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/c93a86b60690a48814756eba54f96b19a01630b2,7,7,14,1,1
pH-7,Simple-Java-Calculator,ed0fc7c381b4bffbfd474b0c0a34538ba62434e1,pH-7,2017-01-26 00:00:41,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/b1d5f2501c6044fe1d1c645ea196ad6e02c4359f,255,255,510,1,1
pH-7,Simple-Java-Calculator,0e63666c3928a7e8bfdc4235e08c91bb916ff49b,pH-7,2015-11-22 01:49:00,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/cf0def605c10ea21df20bccda67ec4aec91dccf2,174,124,298,1,1
pH-7,Simple-Java-Calculator,2cc08b8232b4e294dc070094164ccd929c7a2534,hczhcz,2015-11-17 04:04:35,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/cf0def605c10ea21df20bccda67ec4aec91dccf2,174,124,298,1,1
pH-7,Simple-Java-Calculator,4a6e4b7003b28e61fa945c63245abe24c28137a6,hczhcz,2015-11-17 03:58:24,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/ee853a8e121ce13db467b9200aff94d040f14aaf,29,1,30,1,1
pH-7,Simple-Java-Calculator,aa98ce9309e44bc2c26f9c4e3a22a7fbd9af3727,hczhcz,2015-11-17 03:57:06,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/b898439a43e24845134bdf42dd5a5e1054a26a9f,86,56,142,1,1
pH-7,Simple-Java-Calculator,60b028d315655524150b9317ce99a6d02fb817f8,hczhcz,2015-11-17 03:13:08,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/7ac4a574c6ee0e447b30657aa673d9c6a0737793,135,115,250,1,1
pH-7,Simple-Java-Calculator,a8af9d8348abb7984d84bdf9d01728c2d3bd1a6a,hczhcz,2015-11-17 02:14:36,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/baeb1cd58e98435284e4a64aff93e4b88e1c4981,41,1,42,1,1
pH-7,Simple-Java-Calculator,9c913601d9a72d4025086635426af4d8b67109b8,pH-7,2015-10-22 21:23:48,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/20243afb48e7fa513fff3ad77d64918345fa6fd5,60,121,181,1,1
pH-7,Simple-Java-Calculator,ce40e4428518589850aa0f8555a85064c836588a,Unknown,2015-10-04 18:19:16,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/20243afb48e7fa513fff3ad77d64918345fa6fd5,60,121,181,1,1
pH-7,Simple-Java-Calculator,07aff1e567139bd3e49df16e1b26df0f4966151b,pH-7,2015-09-22 23:00:18,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/e1459b43a4fa72830719dbe98013cac07c592b0e,4,1,5,1,1
pH-7,Simple-Java-Calculator,f8bdc84a479425aa495905621bc90df6d746d72e,pH-7,2015-09-22 22:51:24,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/e4a69e43ce2131389e69a9cef4652081d7b5960d,1697,62,1759,2,2
pH-7,Simple-Java-Calculator,e0b2ec901e7196573f38310f209186617f2c41cc,achinthagunasekara,2015-09-21 06:16:05,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/e4a69e43ce2131389e69a9cef4652081d7b5960d,0,0,0,1,1
